Case ID,Applicant Salary,Bank Salary,Applicant EMI,Bank EMI,Predicted Status
CASE_001,75000,75000.0,15000,15000.0,CONSISTENT
CASE_002,90000,60000.0,12000,12000.0,SALARY_MISMATCH
TC001,75000,75000.0,15000,15000.0,CONSISTENT
TC002,120000,120000.0,30000,30000.0,CONSISTENT
TC003,50000,50000.0,8000,8000.0,CONSISTENT
TC004,95000,95000.0,20000,20000.0,CONSISTENT
TC005,90000,60000.0,12000,12000.0,SALARY_MISMATCH
TC006,80000,50000.0,10000,10000.0,SALARY_MISMATCH
TC007,110000,70000.0,25000,25000.0,SALARY_MISMATCH
TC008,65000,45000.0,14000,14000.0,SALARY_MISMATCH
TC009,85000,85000.0,10000,28000.0,EMI_MISMATCH
TC010,70000,70000.0,5000,18000.0,EMI_MISMATCH
TC011,100000,100000.0,15000,35000.0,EMI_MISMATCH
TC012,60000,60000.0,7000,22000.0,EMI_MISMATCH
TC013,75000,75000.0,12000,12000.0,CONSISTENT
TC014,82000,82000.0,16000,16000.0,CONSISTENT
TC015,90000,90000.0,18000,18000.0,CONSISTENT
TC016,100000,55000.0,15000,32000.0,MULTIPLE_MISMATCH
TC017,85000,45000.0,10000,25000.0,MULTIPLE_MISMATCH
TC018,120000,80000.0,20000,40000.0,MULTIPLE_MISMATCH
TC019,70000,70000.0,11000,11000.0,CONSISTENT
TC020,65000,0.0,9000,0.0,DATA_QUALITY_ISSUE
