case_id,declared_salary,declared_emi,slip_salary,bank_salary_average,bank_emi_total,employer_match_score,slip_extraction_confidence,missing_document_count,missing_field_count,low_confidence_count,extraction_failure_count,consistency_category
SYN_0001,58321.8,8106.65,58321.8,58321.8,8106.65,1,0.95,0,0,0,0,CONSISTENT
SYN_0002,79783.53,25255.0,79783.53,79783.53,25255.0,1,0.95,0,0,0,0,CONSISTENT
SYN_0003,66286.83,9668.01,66286.83,66286.83,17443.43,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0004,67122.45,13960.55,67122.45,39425.63,13960.55,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0005,68579.31,13139.14,68579.31,68579.31,25701.08,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0006,63863.9,9574.38,63863.9,63863.9,9574.38,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0007,66834.26,16834.63,66834.26,36836.19,16834.63,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0008,76663.84,25852.69,76663.84,76663.84,25852.69,1,0.95,0,0,0,0,CONSISTENT
SYN_0009,65996.19,8211.12,65996.19,65996.19,8211.12,1,0.31,1,3,2,1,DATA_QUALITY_ISSUE
SYN_0010,89211.6,9688.12,89211.6,68942.38,9688.12,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0011,56023.21,12886.29,56023.21,56023.21,12886.29,1,0.95,0,0,0,0,CONSISTENT
SYN_0012,91379.88,13360.98,91379.88,72270.1,13360.98,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0013,86077.0,10511.99,86077.0,86077.0,10511.99,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0014,77570.52,8634.13,77570.52,77570.52,8634.13,1,0.95,0,0,0,0,CONSISTENT
SYN_0015,52822.17,16226.15,52822.17,52822.17,16226.15,1,0.95,0,0,0,0,CONSISTENT
SYN_0016,64202.34,10929.4,64202.34,64202.34,10929.4,1,0.95,0,0,0,0,CONSISTENT
SYN_0017,79861.26,9474.55,79861.26,63574.84,9474.55,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0018,69223.77,10361.34,69223.77,69223.77,10361.34,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0019,83731.84,23633.46,83731.84,83731.84,23633.46,1,0.95,0,0,0,0,CONSISTENT
SYN_0020,88316.23,10466.46,88316.23,88316.23,10466.46,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0021,52377.7,6070.03,52377.7,52377.7,6070.03,1,0.95,0,0,0,0,CONSISTENT
SYN_0022,91494.7,16587.61,91494.7,91494.7,16587.61,1,0.95,0,0,0,0,CONSISTENT
SYN_0023,87521.93,19084.48,87521.93,87521.93,19084.48,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0024,79448.42,22111.38,79448.42,79448.42,22111.38,1,0.95,0,0,0,0,CONSISTENT
SYN_0025,97431.51,21770.96,97431.51,97431.51,21770.96,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0026,80072.72,16565.87,80072.72,40646.97,16565.87,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0027,76305.71,13627.36,76305.71,76305.71,13627.36,1,0.95,0,0,0,0,CONSISTENT
SYN_0028,70514.89,23050.73,70514.89,40531.09,23050.73,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0029,63161.13,7531.65,63161.13,37070.87,7531.65,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0030,86155.67,28640.25,86155.67,86155.67,28640.25,1,0.95,0,0,0,0,CONSISTENT
SYN_0031,88731.03,26700.77,88731.03,53238.62,53401.54,1,0.95,0,0,0,0,MULTIPLE_MISMATCH
SYN_0032,79931.27,25828.97,79931.27,79931.27,25828.97,1,0.95,0,0,0,0,CONSISTENT
SYN_0033,64469.2,10120.62,64469.2,40495.19,10120.62,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0034,70085.07,22089.6,70085.07,42051.04,44179.2,1,0.95,0,0,0,0,MULTIPLE_MISMATCH
SYN_0035,35172.36,5470.25,35172.36,35172.36,5470.25,1,0.95,0,0,0,0,CONSISTENT
SYN_0036,80182.77,14786.01,80182.77,80182.77,14786.01,1,0.95,0,0,0,0,CONSISTENT
SYN_0037,78224.08,21570.66,78224.08,78224.08,21570.66,1,0.21,1,2,2,1,DATA_QUALITY_ISSUE
SYN_0038,44665.28,12241.68,44665.28,44665.28,12241.68,1,0.95,0,0,0,0,CONSISTENT
SYN_0039,68373.51,12735.78,68373.51,68373.51,12735.78,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0040,73737.52,19922.13,73737.52,73737.52,40460.54,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0041,107380.93,12908.62,107380.93,65598.62,12908.62,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0042,93476.68,28116.38,93476.68,93476.68,28116.38,1,0.95,0,0,0,0,CONSISTENT
SYN_0043,74318.96,22600.99,74318.96,54959.13,22600.99,1,0.95,0,0,0,0,SALARY_MISMATCH
