transaction_id,date,description,amount,type,is_salary,is_recurring_debit
TX-TC016-1,2026-06-05,ACME CORP SALARY CREDIT,5000.0,CREDIT,True,False
TX-TC016-2,2026-06-10,RECURRING EMI AUTO-DEBIT,-4000.0,DEBIT,False,True
TX-TC016-3,2026-06-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC016-4,2026-06-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC016-5,2026-07-05,ACME CORP SALARY CREDIT,5000.0,CREDIT,True,False
TX-TC016-6,2026-07-10,RECURRING EMI AUTO-DEBIT,-4000.0,DEBIT,False,True
TX-TC016-7,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC016-8,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
TX-TC016-9,2026-07-05,ACME CORP SALARY CREDIT,5000.0,CREDIT,True,False
TX-TC016-10,2026-07-10,RECURRING EMI AUTO-DEBIT,-4000.0,DEBIT,False,True
TX-TC016-11,2026-07-15,UTILITY & BILL PAYMENT,-450.0,DEBIT,False,True
TX-TC016-12,2026-07-20,GROCERY & SUPERMARKET,-650.0,DEBIT,False,False
